block_geoid,Geographic Area Name
480291101001000,"Block 1000, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001001,"Block 1001, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001002,"Block 1002, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001003,"Block 1003, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001004,"Block 1004, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001005,"Block 1005, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001006,"Block 1006, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001007,"Block 1007, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001008,"Block 1008, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001009,"Block 1009, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001010,"Block 1010, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001011,"Block 1011, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001012,"Block 1012, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001013,"Block 1013, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001014,"Block 1014, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001015,"Block 1015, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001016,"Block 1016, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001017,"Block 1017, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001018,"Block 1018, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001019,"Block 1019, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001020,"Block 1020, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001021,"Block 1021, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001022,"Block 1022, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001023,"Block 1023, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001024,"Block 1024, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001025,"Block 1025, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001026,"Block 1026, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001027,"Block 1027, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001028,"Block 1028, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001029,"Block 1029, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001030,"Block 1030, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001031,"Block 1031, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001032,"Block 1032, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001033,"Block 1033, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001034,"Block 1034, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001035,"Block 1035, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001036,"Block 1036, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001037,"Block 1037, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001038,"Block 1038, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001039,"Block 1039, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001040,"Block 1040, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001041,"Block 1041, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001042,"Block 1042, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001043,"Block 1043, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001044,"Block 1044, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001045,"Block 1045, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001046,"Block 1046, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001047,"Block 1047, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001048,"Block 1048, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001049,"Block 1049, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001050,"Block 1050, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001051,"Block 1051, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001052,"Block 1052, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001053,"Block 1053, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001054,"Block 1054, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001055,"Block 1055, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001056,"Block 1056, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001057,"Block 1057, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001058,"Block 1058, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001059,"Block 1059, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001060,"Block 1060, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001061,"Block 1061, Block Group 1, Census Tract 1101, Bexar County, Texas"
